t,screen,left_node,left_raw_cm,left_filtered_cm,left_rejected,centre_node,centre_raw_cm,centre_filtered_cm,centre_rejected,right_node,right_raw_cm,right_filtered_cm,right_rejected,active_sensor,active_cm,status,held,bad_readings,grid_x,grid_y,raw_grid_x,raw_grid_y,calibrated,alert_cm,max_cm
6250,game,3,,243.36,0,1,,,21,2,,,0,left,243.36,ok,1,25,2,1,,,1,10,150
6275,game,3,,243.36,0,1,,,21,2,,,0,left,243.36,ok,1,25,2,1,,,1,10,150
6308,game,3,,243.36,0,1,,,21,2,,,0,left,243.36,ok,1,25,2,1,,,1,10,150
6313,game,3,,243.36,0,1,,,21,2,,,0,left,243.36,ok,1,25,2,1,,,1,10,150
6315,game,3,,243.36,0,1,,,21,2,,,0,left,243.36,ok,1,25,2,1,,,1,10,150
6420,game,3,,243.36,0,1,,,21,2,,,0,left,243.36,ok,1,25,2,1,,,1,10,150
6460,game,3,,243.36,0,1,,,21,2,,,0,left,243.36,ok,1,25,2,1,,,1,10,150
6465,game,3,,243.36,0,1,,,21,2,,,0,left,243.36,ok,1,25,2,1,,,1,10,150
6468,game,3,,243.36,0,1,,,21,2,,,0,left,243.36,ok,1,25,2,1,,,1,10,150
6502,game,3,,243.36,0,1,,,21,2,,,0,left,243.36,ok,1,25,2,1,,,1,10,150
6548,game,3,,243.36,0,1,,,21,2,,,0,left,243.36,ok,1,25,2,1,,,1,10,150
6550,game,3,,243.36,0,1,,,21,2,,,0,left,243.36,ok,1,25,2,1,,,1,10,150
6554,game,3,,243.36,0,1,,,21,2,,,0,left,243.36,ok,1,25,2,1,,,1,10,150
6582,game,3,,243.36,0,1,,,21,2,,,0,left,243.36,ok,1,25,2,1,,,1,10,150
6583,game,3,,243.36,0,1,,,21,2,,,0,left,243.36,ok,1,25,2,1,,,1,10,150
7227,game,3,,243.36,0,1,,,21,2,,,0,left,243.36,ok,1,25,2,1,,,1,10,150
7232,game,3,,243.36,0,1,,,21,2,,,0,left,243.36,ok,1,25,2,1,,,1,10,150
7235,game,3,,243.36,0,1,,,21,2,,,0,left,243.36,ok,1,25,2,1,,,1,10,150
7296,game,3,,243.36,0,1,,,21,2,,,0,left,243.36,ok,1,25,2,1,,,1,10,150
7301,game,3,,243.36,0,1,,,21,2,,,0,left,243.36,ok,1,25,2,1,,,1,10,150
